image_id,is_back_color_black,is_back_pattern_solid,is_belly_color_white,is_belly_pattern_solid,is_bill_color_black,is_bill_length_shorter_than_head,is_bill_shape_all-purpose,is_breast_color_white,is_breast_pattern_solid,is_crown_color_black,is_eye_color_black,is_forehead_color_black,is_head_pattern_plain,is_leg_color_grey,is_nape_color_black,is_primary_color_black,is_shape_perching-like,is_size_small_(5_-_9_in),is_tail_pattern_solid,is_tail_shape_notched_tail,is_throat_color_white,is_under_tail_color_black,is_underparts_color_white,is_upper_tail_color_black,is_upperparts_color_black,is_wing_color_black,is_wing_pattern_multi-colored,is_wing_shape_rounded-wings,is_back_color_black_certainty,is_back_pattern_solid_certainty,is_belly_color_white_certainty,is_belly_pattern_solid_certainty,is_bill_color_black_certainty,is_bill_length_shorter_than_head_certainty,is_bill_shape_all-purpose_certainty,is_breast_color_white_certainty,is_breast_pattern_solid_certainty,is_crown_color_black_certainty,is_eye_color_black_certainty,is_forehead_color_black_certainty,is_head_pattern_plain_certainty,is_leg_color_grey_certainty,is_nape_color_black_certainty,is_primary_color_black_certainty,is_shape_perching-like_certainty,is_size_small_(5_-_9_in)_certainty,is_tail_pattern_solid_certainty,is_tail_shape_notched_tail_certainty,is_throat_color_white_certainty,is_under_tail_color_black_certainty,is_underparts_color_white_certainty,is_upper_tail_color_black_certainty,is_upperparts_color_black_certainty,is_wing_color_black_certainty,is_wing_pattern_multi-colored_certainty,is_wing_shape_rounded-wings_certainty,is_bill_shape_all-purpose_soft,is_wing_color_black_soft,is_upperparts_color_black_soft,is_underparts_color_white_soft,is_breast_pattern_solid_soft,is_back_color_black_soft,is_tail_shape_notched_tail_soft,is_upper_tail_color_black_soft,is_head_pattern_plain_soft,is_breast_color_white_soft,is_throat_color_white_soft,is_eye_color_black_soft,is_bill_length_shorter_than_head_soft,is_forehead_color_black_soft,is_under_tail_color_black_soft,is_nape_color_black_soft,is_belly_color_white_soft,is_wing_shape_rounded-wings_soft,is_size_small_(5_-_9_in)_soft,is_shape_perching-like_soft,is_back_pattern_solid_soft,is_tail_pattern_solid_soft,is_belly_pattern_solid_soft,is_primary_color_black_soft,is_leg_color_grey_soft,is_bill_color_black_soft,is_crown_color_black_soft,is_wing_pattern_multi-colored_soft,is_Warbler,image_file,train_val_test,is_Warbler_score
11,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,3,3,3,3,4,3,3,3,4,2,4,3,1,3,4,4,3,1,1,4,1,3,1,4,4,3,4,0.1,1.0,1.0,0.1,0.9,0.75,0.5,0.5,0.9,0.1,0.0,0.75,1.0,0.0,0.5,0.9,0.1,0.0,0.1,0.0,0.9,0.5,0.9,1.0,0.5,0.9,1.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,train,0.06646672
12,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.5,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,test,0.010777423
13,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,0.0,0.1,0.1,0.1,0.9,0.1,0.9,0.0,0.9,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,test,0.014493032
14,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,test,0.002371701
15,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,3,4,3,4,4,4,4,3,4,4,4,2,4,4,4,3,3,3,3,4,4,4,4,4,2,3,2,0.0,0.25,0.0,0.0,0.9,0.0,0.9,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.9,0.1,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,train,0.0027557241
16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,4,3,3,2,4,4,4,4,3,1,4,2,2,2,2,2,4,3,1,2,3,3,3,2,0.1,0.1,0.1,0.5,1.0,0.25,0.25,0.25,0.1,0.25,0.0,1.0,0.1,0.0,0.1,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.0,0.0,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,test,0.012603842
17,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,4,3,4,4,4,3,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,1.0,0.1,1.0,0.0,0.1,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,test,0.005520001
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,val,0.001133298
19,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,3,4,3,3,4,3,4,4,4,3,3,4,3,4,4,1,3,4,3,4,3,3,3,3,3,0.1,0.1,0.1,0.0,0.9,0.1,0.1,0.1,0.9,0.0,0.0,1.0,0.1,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.1,0.5,0.1,0.1,0.9,0.0,0.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,test,0.00050117617
20,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4,4,3,3,4,3,3,4,2,4,3,2,4,3,3,2,1,3,4,3,4,1,1,1,2,1,0.0,0.5,0.5,0.0,0.1,0.1,0.1,0.5,0.9,0.1,1.0,0.75,0.1,0.0,0.1,0.0,0.0,0.5,0.25,0.1,0.5,0.5,1.0,0.1,0.25,0.9,0.0,0.25,0,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,train,0.018645406
21,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,4,4,1,1,3,4,3,3,3,4,4,4,3,1,4,3,3,3,3,1,2,4,1,4,4,4,4,1,0.1,1.0,1.0,0.5,0.9,1.0,0.5,1.0,0.1,0.1,0.25,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.1,1.0,0.9,0.5,0.9,0.5,0.1,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,train,0.00017180319
22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,1,1,4,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,test,0.001396032
23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,1,1,3,3,4,1,1,4,3,4,3,3,4,4,4,4,1,4,4,3,1,3,3,3,3,2,0.0,0.1,0.1,0.5,0.5,0.1,0.0,0.1,0.1,0.5,1.0,0.9,0.1,0.0,0.1,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.9,0.1,0.0,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,val,0.0006605101
24,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,4,1,1,4,4,4,1,1,4,4,4,4,1,4,4,4,4,4,1,4,1,1,3,4,4,4,1,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.9,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,test,0.0014097871
25,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,1,1,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,1,4,4,1,3,3,4,4,4,0.0,0.0,0.1,0.5,1.0,0.1,0.5,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.1,0.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,test,0.0023478647
26,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,3,3,4,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,1,2,3,3,3,3,3,0.0,0.1,0.1,0.25,0.75,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.0,0.1,0.5,0.1,0.5,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,test,0.00047991987
27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.9,0.1,0.5,0.1,0.1,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,test,0.00052598753
28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,2,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,3,0.9,0.25,0.1,0.25,0.25,0.1,0.25,0.1,0.1,0.25,0.1,0.9,0.1,0.25,0.1,0.1,0.25,0.1,0.25,0.75,0.1,0.25,0.25,0.25,0.1,0.25,0.25,0.75,0,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,test,0.024524618
29,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2,3,3,4,4,4,3,3,4,1,3,3,3,1,4,4,4,3,3,3,3,3,1,2,4,3,4,0.0,1.0,0.75,0.1,0.9,0.75,0.1,0.5,0.9,0.1,0.1,0.5,0.0,0.9,0.9,0.5,0.1,0.0,0.0,0.0,0.75,0.9,0.9,1.0,0.1,1.0,1.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,test,0.020438949
30,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,4,4,4,4,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,4,3,4,4,4,3,3,3,4,0.0,0.9,0.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.9,0.1,1.0,1.0,0.9,0.0,0.0,0.1,0.1,1.0,0.0,1.0,1.0,0.0,0.9,1.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,val,0.0011254991
31,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,train,0.015767554
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,2,3,3,2,4,2,4,3,4,4,3,3,2,3,2,2,2,3,4,1,3,3,3,2,0.1,0.1,0.1,0.0,0.0,0.5,0.25,0.5,0.0,0.25,0.25,1.0,0.1,0.1,0.1,0.1,0.1,0.25,0.1,0.25,0.5,0.25,0.1,0.1,0.0,0.25,0.25,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,train,0.0009811785
33,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,4,4,3,3,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0.0,1.0,1.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.9,1.0,0.5,1.0,1.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,test,0.0050086733
34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,1,3,3,3,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.9,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.1,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,test,0.00039591454
35,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2,3,4,4,4,4,4,4,4,4,4,4,1,4,4,3,4,2,3,4,3,4,1,2,4,4,4,0.0,1.0,0.75,0.0,1.0,0.75,0.1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.1,0.0,0.0,0.1,0.75,0.75,1.0,1.0,0.5,0.0,1.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,train,0.006150645
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,4,1,4,3,4,4,1,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,1,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,train,0.004429379
37,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,4,3,3,4,1,3,3,3,3,3,3,3,3,4,3,2,3,3,3,0.1,0.1,0.25,0.0,0.9,0.25,0.9,0.1,1.0,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.9,0.9,0.9,0.1,0.5,0.1,0.0,0.1,0,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,train,0.004288603
38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,4,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,1,1,4,4,4,4,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,test,0.0076666004
39,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,1,1,3,3,3,3,3,4,3,3,2,1,3,4,3,3,3,3,3,1,3,3,4,2,2,4,0.1,0.25,0.0,0.1,0.9,0.0,0.1,0.1,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.0,0.1,0.1,1.0,0.9,0.5,0.0,0.5,0.9,0.0,0.75,0,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,test,0.017128782
40,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,0.1,0.1,0.1,0.0,0.9,0.1,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.9,0.9,1.0,0.1,0.1,0.0,0.0,0.9,0,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,train,0.013667323
41,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,train,0.0030943442
42,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,4,4,4,1,1,1,4,3,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.1,0.9,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,train,0.0058019906
43,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,2,4,4,3,3,4,4,4,3,0.0,0.0,0.0,0.1,1.0,0.0,0.25,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.25,1.0,0.0,0.0,0,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,train,0.0010526924
